Advertiser/Account ID/Account Name,Calculation2,Market,Platform
3.44139E+14, ,MEA,Facebook
18ce54aaxwm, ,MEA,Twitter
18ce54appee, ,MEA,Twitter
18ce54jf33j, ,MEA,Twitter
18ce53wrmgk, ,MEA,Twitter
18ce54alq2p, ,MEA,Twitter
18ce54s3ejk, ,MEA,Twitter
18ce54ae6pq, ,MEA,Twitter
18ce54vppip, ,MEA,Twitter
SAGE | SEARCH | ZA, ,ZA,DS3
SAGE | SEARCH | WA, ,WA,DS3
SAGE | SEARCH | EA, ,EA,DS3
SAGE | SEARCH | SADC, ,SADC,DS3
SAGE | SEARCH | ME, ,ME,DS3
SAGE | DISPLAY | ZA, ,ZA,DBM
SAGE | DISPLAY | WA, ,WA,DBM
SAGE | DISPLAY | EA, ,EA,DBM
SAGE | DISPLAY | SADC, ,SADC,DBM
SAGE | DISPLAY | ME, ,ME,DBM
SAGE | ZA - MINDSHARE, ,ZA,DCM
SAGE | DISPLAY | ZA, ,ZA,DCM
SAGE | SEARCH | ZA, ,ZA,DCM
SAGE | WA - MINDSHARE, ,WA,DCM
SAGE | DISPLAY | WA, ,WA,DCM
SAGE | SEARCH | WA, ,WA,DCM
SAGE | EA - MINDSHARE, ,EA,DCM
SAGE | DISPLAY | EA, ,EA,DCM
SAGE | SEARCH | EA, ,EA,DCM
SAGE | SADC - MINDSHARE, ,SADC,DCM
SAGE | DISPLAY | SADC, ,SADC,DCM
SAGE | SEARCH | SADC, ,SADC,DCM
SAGE | ME - MINDSHARE, ,ME,DCM
5.58478E+14, ,PT,Facebook
4.80173E+14, ,PT,Facebook
2.9161E+14, ,PT,Facebook
4.0173E+14, ,PT,Facebook
2.51674E+14, ,PT,Facebook
SAGE - APAC - NEO - Hong Kong, ,HK,DCM
SAGE - APAC - NEO - Indonesia -, ,ID,DCM
SAGE - APAC - NEO - Malaysia, ,MY,DCM
SAGE - APAC - NEO - Singapore, ,SG,DCM
SAGE - APAC - NEO - Thailand, ,TH,DCM
SAGE DBM - HK, ,HK,DBM
SAGE DBM - ID, ,ID,DBM
SAGE DBM - MY, ,MY,DBM
SAGE DBM - SG, ,SG,DBM
SAGE DBM - TH, ,TH,DBM
2.59658E+14, ,ES,Facebook
2.28893E+15, ,ES,Facebook
3.06147E+14, ,ES,Facebook
1.54898E+15, ,ES,Facebook
SAGE | DISPLAY | ME, ,ME,DCM
SAGE | SEARCH | ME, ,ME,DCM
Sage US_Q3 FY19_Dynamic Ads, ,US,Linkedin
Sage US_Q3 FY19_Sponsored InMail, ,US,Linkedin
Sage US_Q3 FY19_Sponsored Content, ,US,Linkedin
Sage CA_Q3 FY19_Sponsored Content, ,CA,Linkedin
