Placement,Model
PKB4GD_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,CX-3 & CX-5
PKB4GG_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,CX-3 & CX-5
PKB4GL_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,CX-3 & CX-5
PKB4GW_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,CX-3 & CX-5
PKB4GZ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,CX-3 & CX-5
PKB4H8_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,CX-3 & CX-5
PKB4H9_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,CX-3 & CX-5
PKB4HK_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,CX-3 & CX-5
PKB4HP_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,CX-3 & CX-5
PKB4V5_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,MX-5
PKB4V7_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Mazda 2
PKB4VK_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,MX-5
PKB4VL_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Mazda 2
PKB4VN_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,MX-5
PKB4VP_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Mazda 2
PKB4VS_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,MX-5
PKB4VZ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,MX-5
PKB4W0_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Mazda 2
PKB52R_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,Mazda 3
PKB52T_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,CX-3 & CX-5
PKB52X_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,Mazda 3
PKB52Y_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,CX-3 & CX-5
PKB530_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,Mazda 3
PKB532_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,CX-3 & CX-5
PKB535_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,Mazda 3
PKB536_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,CX-3 & CX-5
PKB53H_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,Mazda 3
