Placement,Site Name
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45300531|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45297698|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45297698|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45297698|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45298091|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45298091|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45298091|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45298098|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45298098|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45298098|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45301055|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45301055|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45301055|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45301065|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45301065|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45301065|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45300574|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45300574|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45300574|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,Haymarket PMP
