Activity,ActivityName
Enterprise|FY19|H1|LP|BMS_18Q4_NCM_CA_DGEE_ER0480_Sage300genericNCA,Enterprise|FY19|H1|LP|BMS_18Q4_NCM_CA_DGEE_ER0480_Sage300genericNCA
Accounting|FY18|Q3|TY|OnClick|FreeTrial|ca/sage-50-accounting/try_ITRS_,Accounting|FY18|Q3|TY|OnClick|FreeTrial|ca/sage-50-accounting/try_ITRS_
100/300|FY17|Q1|LandingPage|ca/erp/sage-300,100/300|FY17|Q1|LandingPage|ca/erp/sage-300
Accounting|FY18|Q4|TY|OnClick|BuyNowAccounting|ACG_18Q4_NCM_CA_DGPS_AC0840_ACCAPDEN,Accounting|FY18|Q4|TY|OnClick|BuyNowAccounting|ACG_18Q4_NCM_CA_DGPS_AC0840_ACCAPDEN
Accounting|FY18|Q4|TY|OnClick|FreeTrialAccounting|ACG_18Q4_NCM_CA_DGPS_AC0840_ACCAPDEN,Accounting|FY18|Q4|TY|OnClick|FreeTrialAccounting|ACG_18Q4_NCM_CA_DGPS_AC0840_ACCAPDEN
https://mysageone.ca.sageone.com/signup/welcome?redirect=_v2_ITRS_,https://mysageone.ca.sageone.com/signup/welcome?redirect=_v2_ITRS_
Buy Page_v2,Buy Page_v2
Home Page FR_v2,Home Page FR_v2
50CA|LP|/ca/sage-50-accounting/add-ons,50CA|LP|/ca/sage-50-accounting/add-ons
Add-on_v2,Add-on_v2
Check Out Step 1_v2,Check Out Step 1_v2
Check Out Step 2_v2,Check Out Step 2_v2
Check Out Step 3_v2,Check Out Step 3_v2
Sage|Sage50CA|EN|AccountInfo|Oct2016,Sage|Sage50CA|EN|AccountInfo|Oct2016
Sage|Sage50CA|EN|Features|Oct2016,Sage|Sage50CA|EN|Features|Oct2016
LIveCA|FY17|Q2|Conv|ca/sage-live_INQ,LIveCA|FY17|Q2|Conv|ca/sage-live_INQ
SAGEFRANCE_SAGE ONE_V2_LP,SAGEFRANCE_SAGE ONE_V2_LP
SAGEFRANCE_Accounting_Sage One V3_LP,SAGEFRANCE_Accounting_Sage One V3_LP
SAGE_FRANCE_GoSage_GuidedTour_LP,SAGE_FRANCE_GoSage_GuidedTour_LP
SAGE FRANCE_CIEL_MiseEnPanier_Button,SAGE FRANCE_CIEL_MiseEnPanier_Button
SAGE France_All_Black Friday_LP,SAGE France_All_Black Friday_LP
SAGE_FRANCE_CIEL_BlackFriday_LP,SAGE_FRANCE_CIEL_BlackFriday_LP
SAGE France_SAGE ONE_Try_V2_CONV_ITRS_,SAGE France_SAGE ONE_Try_V2_CONV_ITRS_
SAGEFRANCE_SAGE ONE_devis -facture_LP,SAGEFRANCE_SAGE ONE_devis -facture_LP
SAGE France_Sage50cloudCiel|ComptaGestion-Premium_Black Friday_CONV,SAGE France_Sage50cloudCiel|ComptaGestion-Premium_Black Friday_CONV
SAGE France_BestDeals|Sage50cloudCielComptaEssentials_Black Friday_CONV,SAGE France_BestDeals|Sage50cloudCielComptaEssentials_Black Friday_CONV
Payments|FY18|Q1|LP|2018-midmarket,Payments|FY18|Q1|LP|2018-midmarket
Payments|FY18|Q3|LP|midmarket/fraudCX,Payments|FY18|Q3|LP|midmarket/fraudCX
People&Payroll|People|FY18|Q2|LP|sagepeople.com/know-your-people/research-report,People&Payroll|People|FY18|Q2|LP|sagepeople.com/know-your-people/research-report
People&Payroll|People|FY18|Q2|TY|OnClick|Download|sagepeople.com/know-your-people/research-report_DOWN_,People&Payroll|People|FY18|Q2|TY|OnClick|Download|sagepeople.com/know-your-people/research-report_DOWN_
CRE|FY17|Q4|LP|Sage100CRE-PPC-ViewDemo,CRE|FY17|Q4|LP|Sage100CRE-PPC-ViewDemo
CRE|FY17|Q4|LP|Sage300CRE-PPC-ViewDemo,CRE|FY17|Q4|LP|Sage300CRE-PPC-ViewDemo
CRE|FY17|Q4|LP|SageCRE-PPC-Estimating,CRE|FY17|Q4|LP|SageCRE-PPC-Estimating
CRE|FY17|Q4|LP|BMS_17Q3_NCM_NAM_DGWW_AC1450_CREFY17BuildOnDisplay,CRE|FY17|Q4|LP|BMS_17Q3_NCM_NAM_DGWW_AC1450_CREFY17BuildOnDisplay
People&Payroll|People|FY18|Q2|LP|sagepeople.com,People&Payroll|People|FY18|Q2|LP|sagepeople.com
Sage_LojaSage Cart_PT_OPL_LP,Sage_LojaSage Cart_PT_OPL_LP
Sage_Accountants_Consulting Services_LP,Sage_Accountants_Consulting Services_LP
Sage_Accountants_Try One Sage for Free_Free_Trial_Demo_FP,Sage_Accountants_Try One Sage for Free_Free_Trial_Demo_FP
Sage_Accounting_SageOne_Free_Trial_Demo_FP,Sage_Accounting_SageOne_Free_Trial_Demo_FP
Sage_BMS_BMS landing page _Landing page _LP_,Sage_BMS_BMS landing page _Landing page _LP_
Sage_BMS_Work Different_LP,Sage_BMS_Work Different_LP
Sage_BMS_SAGE 300 Cloud product page _Landing page _LP_,Sage_BMS_SAGE 300 Cloud product page _Landing page _LP_
Sage_People_Sage Business Cloud People_keypagevisit_LP,Sage_People_Sage Business Cloud People_keypagevisit_LP
Sage_payroll & HR_Sage Payroll Training _LP,Sage_payroll & HR_Sage Payroll Training _LP
Sage_BMS_300C_LP,Sage_BMS_300C_LP
Sage_BMS_BMS_LP,Sage_BMS_BMS_LP
Sage_Payroll & HR_MicrOpay_Free_Trial_Demo_LP,Sage_Payroll & HR_MicrOpay_Free_Trial_Demo_LP
CrossSegment|People|FY19|H1|LP|HRP_18Q4_NCM_CA_DGWW_HR0810_SageBusinessCloudPeople,CrossSegment|People|FY19|H1|LP|HRP_18Q4_NCM_CA_DGWW_HR0810_SageBusinessCloudPeople
2018|Q4|Sage|ZA|Accounting Medium Segment|_ACGRC_|Programmatic|D010118POH000451|_ITRS_|Sage200evolution Bookademo,2018|Q4|Sage|ZA|Accounting Medium Segment|_ACGRC_|Programmatic|D010118POH000451|_ITRS_|Sage200evolution Bookademo
Africa_Accounting_CONV_DOWN_,Africa_Accounting_CONV_DOWN_
Africa_Accounting_CONV_ITRS_,Africa_Accounting_CONV_ITRS_
Africa_Other_CONV_DOWN_,Africa_Other_CONV_DOWN_
Africa_Payroll_CONV_CONT_,Africa_Payroll_CONV_CONT_
Sage_50 Accounts Sage Cover IE LP,Sage_50 Accounts Sage Cover IE LP
Sage_My_Sage_help_customer_LP,Sage_My_Sage_help_customer_LP
Africa_EMS_CONV_DOWN_,Africa_EMS_CONV_DOWN_
Africa_BMS_CONV_DOWN_,Africa_BMS_CONV_DOWN_
SAGE_Local_Pastel_Partner_Payroll_Advantage_Landing_Page_ZA,SAGE_Local_Pastel_Partner_Payroll_Advantage_Landing_Page_ZA
Africa_Payments_CONV_CONT_,Africa_Payments_CONV_CONT_
Payments|FY18|Q3|FP|customer-support,Payments|FY18|Q3|FP|customer-support
Payments|FY18|Q3|FP|online-payments,Payments|FY18|Q3|FP|online-payments
Sage_Global_Accounting_Confirmation_FreeTrial_ITRS_CONV_ZA,Sage_Global_Accounting_Confirmation_FreeTrial_ITRS_CONV_ZA
Sage_AU_Accounting Solution_Sage one free trial button_On click_CONT_,Sage_AU_Accounting Solution_Sage one free trial button_On click_CONT_
Sage_Accountants_Sage One Free Trial Registered_Free_Trial_Demo_ITRS_TY,Sage_Accountants_Sage One Free Trial Registered_Free_Trial_Demo_ITRS_TY
Sage_Accounting_SageOne_Free_Trial_Demo_ITRS_TY,Sage_Accounting_SageOne_Free_Trial_Demo_ITRS_TY
Africa_Accounting_CONV_CONT_,Africa_Accounting_CONV_CONT_
SAGE_Local_Pastel_Partner_Advantage_Landing_Page_ZA,SAGE_Local_Pastel_Partner_Advantage_Landing_Page_ZA
SAGE_Local_Pastel_Partner_NPOs_Landing_Page_ZA,SAGE_Local_Pastel_Partner_NPOs_Landing_Page_ZA
SAGE_Local_Pastel_Xpress_Advantage_Confirmation_CONV_ZA_CONT_,SAGE_Local_Pastel_Xpress_Advantage_Confirmation_CONV_ZA_CONT_
Africa_Shop_CONV_IBUY_,Africa_Shop_CONV_IBUY_
Sage_Global_Confirmation_OnlineShop_Sales_CONV_IBUY_ZA,Sage_Global_Confirmation_OnlineShop_Sales_CONV_IBUY_ZA
Sage_Global_Confirmation_Shop.Sage_CONV_ZA,Sage_Global_Confirmation_Shop.Sage_CONV_ZA
MiddleEast_Accounting_CONV_ITRS_,MiddleEast_Accounting_CONV_ITRS_
Sage_ME_Accounting_Confirmation_FreeTrial_ITRS_ZA,Sage_ME_Accounting_Confirmation_FreeTrial_ITRS_ZA
SAGE_50_ME_RequestCall_Complete_CONV_ZA_CONT_,SAGE_50_ME_RequestCall_Complete_CONV_ZA_CONT_
SAGE_Global_ME_BMS_Remarketing_HP,SAGE_Global_ME_BMS_Remarketing_HP
Sage_ME_VAT_BookConsultation_Complete_INQ_MEA_CONT_,Sage_ME_VAT_BookConsultation_Complete_INQ_MEA_CONT_
2018|Q3|Sage|ME|People&Payroll|300 People Vertical|Programmatic|D010118POH002131|DBM|UAE|_DOWN_,2018|Q3|Sage|ME|People&Payroll|300 People Vertical|Programmatic|D010118POH002131|DBM|UAE|_DOWN_
Sage_BMS_Distribution _LP,Sage_BMS_Distribution _LP
Sage_BMS_Distribution page_Landing page _LP_,Sage_BMS_Distribution page_Landing page _LP_
Sage_Accounting_SageOne_Contact_FP,Sage_Accounting_SageOne_Contact_FP
Sage_Payroll & HR_WageEasy_Free_Trial_Demo_LP,Sage_Payroll & HR_WageEasy_Free_Trial_Demo_LP
Sage France_SageX3_Home_FR_LP,Sage France_SageX3_Home_FR_LP
SAGE France_SageX3_Product Tour_LP,SAGE France_SageX3_Product Tour_LP
SAGE FRANCE_CIEL_VersionDemo_CONV_ITRS_,SAGE FRANCE_CIEL_VersionDemo_CONV_ITRS_
SAGE France_Ciel_demand_telech_demo_thankYou_CONV_ITRS_,SAGE France_Ciel_demand_telech_demo_thankYou_CONV_ITRS_
SAGE FRANCE_CIEL_Prelevement_CONV_IBUY_,SAGE FRANCE_CIEL_Prelevement_CONV_IBUY_
SAGE France_BestDeals|Sage50cloudCielStandard_Black Friday_CONV,SAGE France_BestDeals|Sage50cloudCielStandard_Black Friday_CONV
